Kraj,Okres,Obec,test2,poz2,% poz2,test3,poz3,% poz3,test4a,poz4a,% poz4a,test4b,poz4b,% poz4b,test4c,poz4c,% poz4c
Trenčiansky,Trenčín,Mníchova Lehota,930,16,"1,72%",911,10,"1,10%",266,0,"0,00%",162,7,"4,32%",428,7,"1,64%"
Trenčiansky,Trenčín,Neporadza,570,14,"2,46%",551,9,"1,63%",193,0,"0,00%",30,3,"10,00%",223,3,"1,35%"
Trenčiansky,Trenčín,Trenčianske Mitice,570,9,"1,58%",563,6,"1,07%",137,1,"0,73%",40,0,"0,00%",177,1,"0,56%"
Trnavský,Dunajská Streda,Baka,556,15,"2,70%",835,11,"1,32%",351,0,"0,00%",182,15,"8,24%",533,15,"2,81%"
Trnavský,Dunajská Streda,Hubice,531,2,"0,38%",487,10,"2,05%",189,2,"1,06%",165,6,"3,64%",354,8,"2,26%"
Trnavský,Dunajská Streda,Kostolné Kračany,978,18,"1,84%",1 045,18,"1,72%",320,10,"3,13%",175,8,"4,57%",495,18,"3,64%"
Trnavský,Dunajská Streda,Vojka nad Dunajom,362,0,"0,00%",699,7,"1,00%",112,2,"1,79%",98,4,"4,08%",210,6,"2,86%"
Trnavský,Dunajská Streda,Vrakúň,1 491,61,"4,09%",1 555,31,"1,99%",672,9,"1,34%",231,16,"6,93%",903,25,"2,77%"
Trnavský,Galanta,Kajal,989,11,"1,11%",,,,131,1,"0,76%",152,15,"9,87%",283,16,"5,65%"
Trnavský,Galanta,Trstice,2 682,43,"1,60%",,,,473,6,"1,27%",118,5,"4,24%",591,11,"1,86%"
Trnavský,Hlohovec,Merašice,528,15,"2,84%",,,,60,0,"0,00%",9,0,"0,00%",69,0,"0,00%"
Trnavský,Hlohovec,Pastuchov,649,9,"1,39%",,,,129,2,"1,55%",80,5,"6,25%",209,7,"3,35%"
Trnavský,Piešťany,Borovce,789,8,"1,01%",,,,120,0,"0,00%",182,7,"3,85%",302,7,"2,32%"
Trnavský,Senica,Rybky,304,4,"1,32%",280,3,"1,07%",85,0,"0,00%",9,0,"0,00%",94,0,"0,00%"
Trnavský,Skalica,Lopašov,195,4,"2,05%",203,3,"1,48%",124,0,"0,00%",33,8,"24,24%",157,8,"5,10%"
Trnavský,Skalica,Unín,696,10,"1,44%",696,9,"1,29%",237,3,"1,27%",49,0,"0,00%",286,3,"1,05%"
Trnavský,Skalica,Vrádište,663,12,"1,81%",631,8,"1,27%",149,3,"2,01%",120,9,"7,50%",269,12,"4,46%"
Trnavský,Trnava,Boleráz,1 698,17,"1,00%",,,,389,1,"0,26%",86,3,"3,49%",475,4,"0,84%"
Trnavský,Trnava,Dlhá,424,8,"1,89%",,,,64,0,"0,00%",12,1,"8,33%",76,1,"1,32%"
Trnavský,Trnava,Košolná,533,9,"1,69%",,,,124,2,"1,61%",85,6,"7,06%",209,8,"3,83%"
Trnavský,Trnava,Križovany nad Dudváhom,1 468,20,"1,36%",,,,339,0,"0,00%",154,10,"6,49%",493,10,"2,03%"
Trnavský,Trnava,Naháč,266,3,"1,13%",,,,113,1,"0,88%",30,0,"0,00%",143,1,"0,70%"
Trnavský,Trnava,Špačince,2 362,31,"1,31%",,,,355,7,"1,97%",236,17,"7,20%",591,24,"4,06%"
Trnavský,Trnava,Trstín,838,13,"1,55%",,,,187,0,"0,00%",81,3,"3,70%",268,3,"1,12%"
Žilinský,Bytča,Bytča,6 932,114,"1,64%",7 009,78,"1,11%",1753,32,"1,83%",462,30,"6,49%",2215,62,"2,80%"
Žilinský,Bytča,Hlboké nad Váhom,1 094,18,"1,65%",870,10,"1,15%",148,0,"0,00%",55,6,"10,91%",203,6,"2,96%"
Žilinský,Bytča,Kolárovice,1 065,13,"1,22%",1 136,12,"1,06%",186,2,"1,08%",42,4,"9,52%",228,6,"2,63%"
Žilinský,Čadca,Čadca,11 703,319,"2,73%",12 492,136,"1,09%",2709,37,"1,37%",435,15,"3,45%",3144,52,"1,65%"
Žilinský,Čadca,Klokočov,1 532,69,"4,50%",1 418,15,"1,06%",294,10,"3,40%",69,2,"2,90%",363,12,"3,31%"
Žilinský,Čadca,Nová Bystrica,2 117,70,"3,31%",1 594,27,"1,69%",293,4,"1,37%",45,1,"2,22%",338,5,"1,48%"
Žilinský,Čadca,Oščadnica,3 676,98,"2,67%",3 638,39,"1,07%",688,11,"1,60%",97,4,"4,12%",785,15,"1,91%"
Žilinský,Čadca,Podvysoká,1 072,24,"2,24%",1 050,12,"1,14%",217,6,"2,76%",127,11,"8,66%",344,17,"4,94%"
Žilinský,Čadca,Skalité,3 134,106,"3,38%",2 945,33,"1,12%",595,5,"0,84%",78,2,"2,56%",673,7,"1,04%"
Žilinský,Čadca,Staškov,2 055,48,"2,34%",1 953,26,"1,33%",451,5,"1,11%",116,1,"0,86%",567,6,"1,06%"
Žilinský,Čadca,Svrčinovec,1 780,41,"2,30%",1 799,26,"1,45%",401,4,"1,00%",103,2,"1,94%",504,6,"1,19%"
Žilinský,Čadca,Zborov nad Bystricou,1 480,48,"3,24%",1 315,14,"1,06%",231,3,"1,30%",75,2,"2,67%",306,5,"1,63%"
,,,,,,8,,,,,,,,,,,
Kraj,Okres,Obec,2 etapa 30.10.-1.11.,,,3 etapa 7.-8.11.,,,4 etapa 21.-22.11. rezidentní,,,4 etapa 21.-22.11. nerezident,,,4 etapa 21.-22.11. spolu,,
,,,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz
Žilinský,Dolný Kubín,Bziny,380,3,"0,79%",386,4,"1,04%",83,0,"0,00%",56,2,"3,57%",139,2,"1,44%"
Žilinský,Dolný Kubín,Horná Lehota,451,8,"1,77%",436,5,"1,15%",115,0,"0,00%",14,1,"7,14%",129,1,"0,78%"
Žilinský,Dolný Kubín,Zázrivá,1 497,25,"1,67%",1 652,17,"1,03%",517,4,"0,77%",115,12,"10,43%",632,16,"2,53%"
Žilinský,Kysucké Nové Mesto,Lopušné Pažite,583,3,"0,51%",293,3,"1,02%",47,0,"0,00%",33,3,"9,09%",80,3,"3,75%"
Žilinský,Kysucké Nové Mesto,Radoľa,1 306,13,"1,00%",1 314,14,"1,07%",253,4,"1,58%",169,6,"3,55%",422,10,"2,37%"
Žilinský,Kysucké Nové Mesto,Rudina,1 157,26,"2,25%",1 173,15,"1,28%",192,2,"1,04%",91,1,"1,10%",283,3,"1,06%"
Žilinský,Kysucké Nové Mesto,Rudinská,1 012,22,"2,17%",799,13,"1,63%",124,1,"0,81%",37,0,"0,00%",161,1,"0,62%"
Žilinský,Liptovský Mikuláš,Bobrovník,400,6,"1,50%",358,6,"1,68%",20,0,"0,00%",23,1,"4,35%",43,1,"2,33%"
Žilinský,Liptovský Mikuláš,Dúbrava,799,11,"1,38%",844,13,"1,54%",220,0,"0,00%",31,1,"3,23%",251,1,"0,40%"
Žilinský,Liptovský Mikuláš,Huty,228,1,"0,44%",224,4,"1,79%",24,0,"0,00%",12,0,"0,00%",36,0,"0,00%"
Žilinský,Liptovský Mikuláš,Jakubovany,516,8,"1,55%",424,5,"1,18%",59,4,"6,78%",35,3,"8,57%",94,7,"7,45%"
Žilinský,Liptovský Mikuláš,Jalovec,215,1,"0,47%",215,4,"1,86%",89,1,"1,12%",27,0,"0,00%",116,1,"0,86%"
Žilinský,Liptovský Mikuláš,Liptovská Kokava,642,5,"0,78%",675,9,"1,33%",200,0,"0,00%",36,0,"0,00%",236,0,"0,00%"
Žilinský,Liptovský Mikuláš,Liptovská Porúbka,767,11,"1,43%",799,8,"1,00%",148,1,"0,68%",43,5,"11,63%",191,6,"3,14%"
Žilinský,Liptovský Mikuláš,Pavlova Ves,443,6,"1,35%",379,4,"1,06%",44,2,"4,55%",10,1,"10,00%",54,3,"5,56%"
Žilinský,Liptovský Mikuláš,Veterná Poruba,227,2,"0,88%",225,3,"1,33%",56,4,"7,14%",11,0,"0,00%",67,4,"5,97%"
Žilinský,Liptovský Mikuláš,Žiar,299,8,"2,68%",327,5,"1,53%",133,0,"0,00%",46,1,"2,17%",179,1,"0,56%"
Žilinský,Martin,Horný Kalník,296,4,"1,35%",222,5,"2,25%",33,0,"0,00%",48,0,"0,00%",81,0,"0,00%"
Žilinský,Martin,Kláštor pod Znievom,874,14,"1,60%",925,13,"1,41%",285,4,"1,40%",206,12,"5,83%",491,16,"3,26%"
Žilinský,Martin,Krpeľany,623,4,"0,64%",589,6,"1,02%",121,0,"0,00%",37,0,"0,00%",158,0,"0,00%"
Žilinský,Martin,Sklabiňa,424,7,"1,65%",437,5,"1,14%",122,0,"0,00%",22,4,"18,18%",144,4,"2,78%"
Žilinský,Martin,Turčianska Štiavnička,688,20,"2,91%",643,10,"1,56%",191,1,"0,52%",40,2,"5,00%",231,3,"1,30%"
Žilinský,Martin,Záborie,338,9,"2,66%",205,3,"1,46%",23,1,"4,35%",33,0,"0,00%",56,1,"1,79%"
Žilinský,Martin,Žabokreky,988,19,"1,92%",867,22,"2,54%",124,0,"0,00%",81,7,"8,64%",205,7,"3,41%"
Žilinský,Námestovo,Beňadovo,653,12,"1,84%",641,10,"1,56%",168,0,"0,00%",34,1,"2,94%",202,1,"0,50%"
Žilinský,Námestovo,Novoť,1 878,32,"1,70%",1 997,22,"1,10%",553,4,"0,72%",49,1,"2,04%",602,5,"0,83%"
Žilinský,Ružomberok,Hubová,671,6,"0,89%",659,7,"1,06%",207,7,"3,38%",80,7,"8,75%",287,14,"4,88%"
Žilinský,Ružomberok,Kalameny,364,4,"1,10%",332,6,"1,81%",98,0,"0,00%",26,4,"15,38%",124,4,"3,23%"
Žilinský,Ružomberok,Liptovská Štiavnica,761,12,"1,58%",762,9,"1,18%",195,5,"2,56%",55,0,"0,00%",250,5,"2,00%"
Žilinský,Ružomberok,Potok,81,1,"1,23%",91,2,"2,20%",41,1,"2,44%",35,0,"0,00%",76,1,"1,32%"
Žilinský,Ružomberok,Valaská Dubová,517,6,"1,16%",562,29,"5,16%",214,0,"0,00%",51,4,"7,84%",265,4,"1,51%"
Žilinský,Turčianske Teplice,Ivančiná,151,2,"1,32%",158,2,"1,27%",14,0,"0,00%",24,0,"0,00%",38,0,"0,00%"
Žilinský,Turčianske Teplice,Jazernica,348,3,"0,86%",347,4,"1,15%",81,0,"0,00%",4,0,"0,00%",85,0,"0,00%"
Žilinský,Turčianske Teplice,Malý Čepčín,433,2,"0,46%",412,5,"1,21%",79,0,"0,00%",27,0,"0,00%",106,0,"0,00%"
Žilinský,Turčianske Teplice,Moškovec,223,7,"3,14%",175,2,"1,14%",18,0,"0,00%",24,1,"4,17%",42,1,"2,38%"
Žilinský,Turčianske Teplice,Sklené,452,1,"0,22%",509,7,"1,38%",165,1,"0,61%",12,0,"0,00%",177,1,"0,56%"
Žilinský,Tvrdošín,Brezovica,856,22,"2,57%",837,9,"1,08%",208,0,"0,00%",19,1,"5,26%",227,1,"0,44%"
Žilinský,Tvrdošín,Liesek,1 595,75,"4,70%",1 567,16,"1,02%",377,5,"1,33%",46,3,"6,52%",423,8,"1,89%"
Žilinský,Tvrdošín,Štefanov nad Oravou,492,18,"3,66%",449,7,"1,56%",137,1,"0,73%",50,3,"6,00%",187,4,"2,14%"
Žilinský,Tvrdošín,Vitanová,755,22,"2,91%",779,9,"1,16%",142,0,"0,00%",25,2,"8,00%",167,2,"1,20%"
Žilinský,Tvrdošín,Zábiedovo,568,19,"3,35%",526,10,"1,90%",211,5,"2,37%",27,3,"11,11%",238,8,"3,36%"
Žilinský,Žilina,Gbeľany,998,14,"1,40%",876,10,"1,14%",242,3,"1,24%",265,19,"7,17%",507,22,"4,34%"
Žilinský,Žilina,Rajecká Lesná,827,7,"0,85%",863,10,"1,16%",273,6,"2,20%",66,7,"10,61%",339,13,"3,83%"
Žilinský,Žilina,Veľká Čierna,212,0,"0,00%",216,4,"1,85%",71,3,"4,23%",16,0,"0,00%",87,3,"3,45%"
Žilinský,Žilina,Zbyňov,914,14,"1,53%",793,8,"1,01%",132,1,"0,76%",107,3,"2,80%",239,4,"1,67%"
,,,362 666,7 442,"2,05%",250 569,3 551,"1,42%",85 287,1 195,"1,40%",25 322,1 306,"5,16%",110 609,2 501,"2,26%"
,,,,,,9,,,,,,,,,,,
